2024-04-12 00:55:27,665 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Configure stats pid to 203739
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Loading settings from /home/liushuai1/.config/wandb/settings
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Loading settings from /nvme/liushuai/SG_VLM/wandb/settings
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'SG_VLM', 'run_name': 'octopus_adapter_04_12_1712854521_initsg_planning', 'api_key': '***REDACTED***'}
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'finetune/OGSG_adapter.py', 'program_abspath': '/nvme/liushuai/SG_VLM/finetune/OGSG_adapter.py', 'program': '/nvme/liushuai/SG_VLM/finetune/OGSG_adapter.py'}
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:_log_setup():521] Logging user logs to ./wandb/run-20240412_005527-9f1a6ihd/logs/debug.log
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:_log_setup():522] Logging internal logs to ./wandb/run-20240412_005527-9f1a6ihd/logs/debug-internal.log
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:init():561] calling init triggers
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:init():611] starting backend
2024-04-12 00:55:27,666 INFO    MainThread:203739 [wandb_init.py:init():615] setting up manager
2024-04-12 00:55:27,667 INFO    MainThread:203739 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-12 00:55:27,668 INFO    MainThread:203739 [wandb_init.py:init():623] backend started and connected
2024-04-12 00:55:27,669 INFO    MainThread:203739 [wandb_init.py:init():715] updated telemetry
2024-04-12 00:55:27,673 INFO    MainThread:203739 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-12 00:55:28,517 INFO    MainThread:203739 [wandb_run.py:_on_init():2357] communicating current version
2024-04-12 00:55:28,679 INFO    MainThread:203739 [wandb_run.py:_on_init():2366] got version response 
2024-04-12 00:55:28,679 INFO    MainThread:203739 [wandb_init.py:init():799] starting run threads in backend
2024-04-12 00:55:32,241 INFO    MainThread:203739 [wandb_run.py:_console_start():2335] atexit reg
2024-04-12 00:55:32,241 INFO    MainThread:203739 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-12 00:55:32,241 INFO    MainThread:203739 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-12 00:55:32,242 INFO    MainThread:203739 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-12 00:55:32,242 INFO    MainThread:203739 [wandb_init.py:init():842] run started, returning control to user process
2024-04-12 00:55:32,243 INFO    MainThread:203739 [wandb_run.py:_config_callback():1347] config_cb None None {'eval_interval': 600, 'save_interval': 1000, 'eval_iters': 100, 'log_interval': 1, 'devices': 8, 'learning_rate': 0.009, 'batch_size': 8.0, 'micro_batch_size': 2, 'gradient_accumulation_steps': 4.0, 'epoch_size': 1500, 'num_epochs': 1, 'max_iters': 187, 'weight_decay': 0.02, 'max_seq_length': 1024, 'warmup_steps': 187}
